"page_position","product_id","product_url","title_display","store_or_brand_display","rating_display","price_display","original_price_display","sold_display","sold_display_abbreviated","discount_display","promotion_labels","review_note"
"73","1732010198279295103","https://shop.tiktok.com/us/pdp/blare-track-pant-red-serpentine-print-soft-bamboo-fabric/1732010198279295103","BLARE TRACKPANT - RED SERPENTINE","I.AM.GIA","4.6","$91.99","","3.8K","true","","",""
"74","1732424974138970787","https://shop.tiktok.com/us/pdp/summer-round-neck-sleeveless-vest-striped-shorts-set-casual/1732424974138970787","Summer Round-Neck Sleeveless Vest & Striped Shorts Beach Set, Casual Slim-Fit Matching Set","","4.2","$33.46","","736","false","","",""
"75","1729495286052656521","https://shop.tiktok.com/us/pdp/chouyatou-womens-casual-adjustable-denim-bib-overall/1729495286052656521","CHOUYATOU Women's Lightweight Denim Jumpsuit, Vintage Style with Adjustable Spaghetti, Retro Loose Fit Cropped Wide Leg, Fashion, Baggy, Backless, Oversized, Spaghetti Strap, Sleeveless, High Waist, Pockets, Comfortable, Fashion Apparel, Clothes For Women","CHOUYATOU","4.4","$34.99","$60.56","1.1K","true","-42%","",""
"76","1732439683711471835","https://shop.tiktok.com/us/pdp/vintage-polka-dot-deep-v-halter-top-waist-cinch-sleeveless/1732439683711471835","Vintage Pure Desire Summer Polka Dot Deep V Halter Top, Contour Waist Tank, Waist Cinch Slimming Vacation Women's Casual Flattering Sleeveless Shirt","","4.6","$13.22","$22.79","211","false","-42%","",""
"77","1732348852805538648","https://shop.tiktok.com/us/pdp/womens-boho-colorful-print-dress-tiered-button-down/1732348852805538648","Women's Boho Style Colorful Print Dress, Short Sleeve Button Design Layered Dress, Knee Length, Loose-Fit, Beach Vacation Casual Wear, Bohemian Style Sundresses","","4.2","$24.87","","1.9K","true","","",""
"78","1732417869824430085","https://shop.tiktok.com/us/pdp/womens-mid-length-casual-blouse-lightweight-summer-wear/1732417869824430085","Women's Minimalist Solid Mid-Length Casual Lady Tshirt Blouse Top - Lightweight Plain Finish, Summer Daily/Vacation Clothes, Reward for Reviews, Chat Support for Details, Basic","","","$107.87","","4.5K","true","","",""
"79","1731180402442277182","https://shop.tiktok.com/us/pdp/two-piece-set-womens-cozy-tee-skirt-for-spring-fall-fashionable-everyday-wear-casual-outdoor-style/1731180402442277182","Elegant Women's One‑Shoulder Crinkled Two‑Piece Set, Fitted Short Crop Top & Ruffle Hem Skort, Perfect for Parties, Music Festivals, Clubs","","4.5","$24.27","","41.2K","true","","",""
"80","1729711243859891167","https://shop.tiktok.com/us/pdp/bodysuit-shapewear-by-lady-comfort-3-piece-seamless-tummy-control/1729711243859891167","Women's Seamless Shapewear Bodysuit - Soft Sculpting Tank Top with Lightweight Tummy Control, Body Contouring for Casual, Work, Night Out, Evening Party, Yoga, Wedding, Abdominal Tightening Shapewear Bodysuit","","4.3","$12.99","","3.1K","true","","",""
"81","1731049476506686312","https://shop.tiktok.com/us/pdp/ripped-stretch-denim-shorts-by-fashion-nova-medium-wash-frayed-hem-5-pockets-2-5-inseam/1731049476506686312","Just My Type Ripped Stretch Denim Shorts - Medium Wash","Fashion Nova","4.2","$24.48","","734","false","","",""
"82","1731514998497644849","https://shop.tiktok.com/us/pdp/v-neck-halter-backless-sleeveless-bodysuit-skirt-set/1731514998497644849","Women's Two-piece Halter Neck Backless Sleeveless Bodysuit & Bodycon Tie Split Skirt Sets Matching Clothing Set Fashion Sets for Party, Club & Holiday","","4.5","$34.49","","546","false","","",""
"83","1732202720240439801","https://shop.tiktok.com/us/pdp/y2k-street-style-cargo-pants-for-women-high-waisted-loose-fit/1732202720240439801","Y2K Street Style Cargo Pants, Loose Fit Oversized Baggy Bottoms for Women, Casual High-Waisted Cotton Trousers for Autumn & Winter, Perfect for Outdoor & Daily Wear","","4.6","$39.27","$44.39","1.6K","true","-12%","",""
"84","1731098092745954276","https://shop.tiktok.com/us/pdp/womens-ruffle-hem-skort-by-oipoig-comfy-stylish-sportswear/1731098092745954276","Women's Pleated Ruffled Mini Skirt with Lace High Waist Woven Attached Leggings Gathered Double-Layer Flared Design Comfortable, Soft, Breathable Fabric Short Skirt Suitable for Outdoor Leisure Activities Daily Wear Back to School Fit","","4.7","$24.31","","1.9K","true","","",""
"85","1732394913377653041","https://shop.tiktok.com/us/pdp/womens-bodycon-slip-dress-sleeveless-backless-midi-elegant/1732394913377653041","Women's Basic Solid Color Bodycon Slip Dress, Sleeveless Backless Spaghetti Straps Plain Slim Fit Midi Dress, Party Club Date Holiday Daily Casual Elegant Dresses For Ladies All Seasons Summer Fashion Clothes Wear, Chic Elegant Fitted","","4.4","$25.12","","10.5K","true","","",""
